=== Catalog ID Assignment Log ===

Processed: 1230 entries
Skipped:   3489 entries

OK    FXAC00554 → Amethyst4
OK    FXAC00555 → Amethyst4Comp
OK    FXAC00556 → Amethyst4Compzl
OK    FXAC00557 → Amethyst4Eq
OK    FXAC00558 → Amethyst4Eqzl
OK    FXAC00559 → Amethyst4Pre
OK    FXAC00560 → Amethyst4Prezl
OK    FXAC00561 → Amethyst4Zl
OK    FXAC00599 → Aquamarine4
OK    FXAC00600 → Aquamarine4Eq
OK    FXAC00601 → Aquamarine4Eqzl
OK    FXAC00602 → Aquamarine4Zl
OK    FXAC00603 → Aquamarine5
OK    FXAC00604 → Aquamarine5Eq
OK    FXAC00605 → Aquamarine5Eqzl
OK    FXAC00606 → Aquamarine5Zl
OK    FXAC00965 → Mint
OK    FXAC00966 → Mintcomp
OK    FXAC00967 → Mintcomptzl
OK    FXAC00968 → Mintcompzl
OK    FXAC00969 → Minteq
OK    FXAC00970 → Minteqt
OK    FXAC00971 → Minteqtzl
OK    FXAC00972 → Minteqzl
OK    FXAC00973 → Mintpre
OK    FXAC00974 → Mintpret
OK    FXAC00975 → Mintpretzl
OK    FXAC00976 → Mintprezl
OK    FXAC00977 → Minttzl
OK    FXAC00978 → Mintzl
OK    FXAC00996 → Navy2Comp
OK    FXAC00997 → Navy2Compzl
OK    FXAC00998 → Navy2Eq
OK    FXAC00999 → Navy2Eqzl
OK    FXAC01000 → Navy2Strip
OK    FXAC01001 → Navy2Stripzl
OK    FXAC01162 → Purple2Aa
OK    FXAC01163 → Purple2Aazl
OK    FXAC01164 → Purple2H2
OK    FXAC01165 → Purple2H2Zl
OK    FXAC01166 → Purple2M5
OK    FXAC01167 → Purple2M5V
OK    FXAC01168 → Purple2M5Vzl
OK    FXAC01169 → Purple2M5Zl
OK    FXAC01170 → Purple2P1
OK    FXAC01171 → Purple2P1Zl
OK    FXAC01172 → Purple3Aa
OK    FXAC01173 → Purple3Aazl
OK    FXAC01174 → Purple3H2
OK    FXAC01175 → Purple3H2Zl
OK    FXAC01176 → Purple3Hlf
OK    FXAC01177 → Purple3Hlfzl
OK    FXAC01178 → Purple3M5
OK    FXAC01179 → Purple3M5V
OK    FXAC01180 → Purple3M5Vzl
OK    FXAC01181 → Purple3M5Zl
OK    FXAC01182 → Purple3P1
OK    FXAC01183 → Purple3P1Zl
OK    FXAC01184 → Purple3Pre
OK    FXAC01185 → Purple3Prezl
